date,Mkt-RF,SMB,HML,RMW,CMA,MOM,STR,BAB,QMJ,RF
197307,5.05,7.24,-5.31,-0.19,-3.45,-11.69,9.56,-3.94,-2.73,0.64
197308,-3.82,-1.76,1.14,-1.37,1.2,3.42,1.77,-0.27,-0.66,0.7
197309,4.75,3.54,2.18,-2.29,1.82,-7.03,1.62,2.24,-4.88,0.68
197310,-0.83,-0.26,1.74,-1.9,2.59,6.75,1.81,1.35,0.4,0.65
197311,-12.75,-7.24,4.04,-2.65,1.49,8.63,-4.6,-4.12,1.84,0.56
197312,0.61,-4.59,4.09,-2.85,2.3,10.39,0.37,1.6,-2.9,0.64
197401,-0.17,10.41,5.99,-3.03,4.47,-8.82,9.16,-2.05,-3.35,0.63
197402,-0.47,0.17,2.54,-1.97,2.67,0.14,0.76,2.37,-1.99,0.58
197403,-2.81,2.64,-0.11,2.82,0.36,-0.99,4.02,0.63,3.04,0.56
197404,-5.29,-0.64,1.06,2.84,1.85,2,-1.33,-3.48,3.03,0.75
197405,-4.68,-3.18,-2.04,4.99,0,-0.26,-2.89,-1.6,4.06,0.75
197406,-2.83,-0.02,0.79,0.65,3.06,2.37,-0.97,-0.37,1.32,0.6
197407,-8.05,2.01,5.14,-3.23,4.58,3.01,0.92,-0.28,-1.88,0.7
197408,-9.35,0.31,2.5,-0.12,2.55,3,2.08,-4.77,0.41,0.6
197409,-11.77,1.46,5.49,-4.41,5.91,4.32,3.32,-1.09,-2.75,0.81
197410,16.1,-6.85,-9.99,0.02,-2.94,-0.5,8.81,4.58,1.82,0.51
197411,-4.51,-1.44,-0.16,-3.39,2.95,2.17,-0.31,-1.47,-1.05,0.54
197412,-3.45,-4.36,0,-0.59,3.23,2.95,-0.35,-2.67,1.87,0.7
197501,13.66,12.79,8.44,-0.95,-0.86,-13.89,14.76,4.84,-5.63,0.58
197502,5.56,-0.66,-4.56,1.06,-2.14,-0.55,4.66,-0.69,2.72,0.43
197503,2.66,3.99,2.49,1.34,-1.25,-1.99,3.56,-4.06,-0.4,0.41
197504,4.23,-0.58,-1.11,1.48,-1.35,1.34,-0.46,1.15,2.32,0.44
197505,5.19,2.9,-4.02,-0.99,-0.61,-0.47,3.95,1.39,-1.23,0.44
197506,4.83,1.31,1.32,-2.9,1.06,0.06,3.24,2.95,-3.45,0.41
197507,-6.59,3.41,1.7,0.44,1.19,0.42,1.2,4.01,-0.54,0.48
197508,-2.85,-2.8,-0.9,1.06,-0.89,-0.13,0.68,-0.29,2.2,0.48
197509,-4.26,0.02,0.34,0.68,0.5,0.32,-0.43,2.56,1.42,0.53
197510,5.31,-4.23,0.3,-0.4,2.27,-0.14,1.58,1.94,0.39,0.56
197511,2.65,-1.06,1.99,-0.56,1.71,-0.45,-2.52,1.47,-0.27,0.41
197512,-1.6,-0.04,1.76,-0.12,0.6,-0.12,3.25,-1.8,-1.21,0.48
