date,isu,acr,ivol1m
11-01-1968,0.008594722,0.001049048,-0.023321776
12-01-1968,-0.019929228,0.022772415,-0.031054963
01-01-1969,-0.023639167,0.014630416,-0.012051409
02-01-1969,-0.011868846,-0.016099418,0.083760996
03-01-1969,-0.010768236,-0.011344363,0.009930374
04-01-1969,0.008426446,-0.01526,-0.001093561
05-01-1969,0.001642116,-0.006311102,0.00125796
06-01-1969,0.011804707,-0.032684979,0.111475668
07-01-1969,-0.00064266,-0.010311946,0.058059691
08-01-1969,0.019530654,-0.010391181,-0.022143576
09-01-1969,0.002444827,0.017503108,0.011171699
10-01-1969,0.01968793,0.015106316,-0.004137671
11-01-1969,0.004518333,-0.00241729,0.029473836
12-01-1969,-0.00847054,0.004570764,0.062793429
01-01-1970,-0.026522132,0.007086769,0.042750251
02-01-1970,-0.017771505,0.002611017,0.060291179
03-01-1970,-0.047496851,-0.002887784,0.045817478
04-01-1970,-0.040635633,-0.013955582,0.110304528
05-01-1970,-0.047298146,-0.005154279,0.077061322
06-01-1970,-0.032477137,-0.00843439,0.087826087
07-01-1970,-0.018309515,-0.028368113,0.013568135
08-01-1970,0.005783444,-0.015922513,-0.049541298
09-01-1970,0.063500706,-0.012671033,-0.161944697
10-01-1970,0.001884229,-0.02377419,0.102324848
11-01-1970,-0.010043003,0.013895606,0.077283762
12-01-1970,-0.001477184,0.024548901,-0.002800143
01-01-1971,0.02616818,0.03460761,-0.127641404
02-01-1971,0.0229726,-0.03160238,-0.039835955
03-01-1971,0.029521221,-0.018146079,-0.002789382
04-01-1971,0.011872753,-0.0253546,0.01211931
05-01-1971,0.008604415,-0.005714441,0.017912876
06-01-1971,0.011922064,0.013575427,0.04054094
07-01-1971,-0.026701531,-0.006311941,0.050757095
08-01-1971,0.026280114,-0.001324028,-0.026888934
09-01-1971,-0.009864356,-0.002785527,0.02017292
10-01-1971,-0.000355894,-0.005103333,0.061685928
11-01-1971,0.006477641,-0.01046652,0.054896254
12-01-1971,0.017176955,-0.010229797,-0.027839462
01-01-1972,0.036592412,0.001096746,-0.099527924
02-01-1972,0.022825321,-0.021351736,0.003755246
03-01-1972,-0.019409715,-0.00164058,0.021438823
04-01-1972,0.018794247,-0.010659711,0.016774557
05-01-1972,0.006216139,-0.0361425,0.046992874
06-01-1972,-0.01434561,-0.013050093,0.011677604
07-01-1972,0.009048248,-0.028925316,0.070128964
08-01-1972,-0.039038164,0.008819843,0.038171911
09-01-1972,-0.010362,-0.008462166,0.049889631
10-01-1972,0.001494383,-0.006867439,0.072750343
11-01-1972,-0.02949632,0.001840608,-0.00721083
12-01-1972,0.018959802,-0.016420459,0.054487282
01-01-1973,-0.024365691,0.025082803,0.043561632
02-01-1973,0.001779629,0.002808252,0.045464814
03-01-1973,-0.005491896,0.001257827,0.025487407
04-01-1973,-0.044500064,0.004703573,0.078763127
05-01-1973,0.041447733,-0.016120607,0.084752967
06-01-1973,0.00162425,-0.004398302,0.016941388
07-01-1973,0.067449997,-0.020944286,-0.151966906
08-01-1973,0.004884239,0.002761808,0.031663917
09-01-1973,0.012212274,-0.025552068,-0.052525516
10-01-1973,-0.000198357,0.041771409,0.033399061
11-01-1973,-0.004958205,0.020995605,0.103573494
12-01-1973,-0.040661641,0.001238159,0.041748875
01-01-1974,-0.016159541,-0.01609351,-0.108305379
02-01-1974,-0.01038666,0.003754076,-0.04462827
03-01-1974,0.004066491,-0.000222433,-0.027775326
04-01-1974,0.003123905,-0.004977433,0.038442678
05-01-1974,0.027812316,-0.046395904,0.09213267
06-01-1974,-0.006102823,-0.001879961,0.034736533
